iTitleList,cNum,cTitle,mean,links,median,itemCount,priceList
"[['play', 'station', '2', 'psi2', 'nro', '21', 'demo', 'mainos', 'dvd'], ['play', 'station', '3', 'demo', 'mainos', 'dvd'], ['play', 'station', '2', 'psm2', 'demo', 'mainos', 'dvd']]",5,"['play', 'station', '2', 'psi2', 'nro', '21', 'demo', 'mainos', 'dvd', '3', 'psm2']",5.0,"['https://www.huuto.net/kohteet/play-station-2---psi2-nro-21---demo-mainos-dvd-/523900357', 'https://www.huuto.net/kohteet/play-station-3--demo-mainos-dvd-/523899863', 'https://www.huuto.net/kohteet/play-station-2---psm2---demo-mainos-dvd-/523900134']",5.0,3,[5. 5. 5.]
"[['dancing', 'stage', 'fusion'], ['dancing', 'stage', 'max'], ['dancing', 'stage', 'supernova'], ['dancing', 'stage', 'supernova'], ['–', 'dancing', 'stage', 'supernova'], ['dancing', 'stage', 'fusion'], ['dancing', 'stage', 'fusion'], ['dancing', 'stage', 'fever'], ['dancing', 'stage', 'fusion']]",6,"['dancing', 'stage', 'fusion', 'max', 'supernova', '–', 'fever']",4.772222222222222,"['https://www.huuto.net/kohteet/ps2-peli-dancing-stage-fusion/524982949', 'https://www.huuto.net/kohteet/ps2-dancing-stage-max/524616481', 'https://www.huuto.net/kohteet/dancing-stage-supernova-ps2/522135081', 'https://www.huuto.net/kohteet/dancing-stage-supernova-ps2/523645591', 'https://www.huuto.net/kohteet/ps2--dancing-stage-supernova/526151106', 'https://www.huuto.net/kohteet/ps2-dancing-stage-fusion-uudenveroinen/525760494', 'https://www.huuto.net/kohteet/ps2-dancing-stage-fusion/525770752', 'https://www.huuto.net/kohteet/ps2-dancing-stage-fever/520669100', 'https://www.huuto.net/kohteet/ps2-dancing-stage-fusion/526198585']",5.0,9,[3.5  6.   2.95 5.   3.   5.   5.   6.5  6.  ]
"[['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['ps', '2', 'metal', 'gear', 'solid', '2', 'sons', 'liberty', 'pal'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty', 'pk', 't'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty', 'bonus', 'disc'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty', 'bonus', 'dvd', 'tä'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty', '377'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty'], ['metal', 'gear', 'solid', '2', 'sons', 'liberty']]",7,"['metal', 'gear', 'solid', '2', 'sons', 'liberty', 'ps', 'pal', 'pk', 't', 'bonus', 'disc', 'dvd', 'tä', '377']",6.67962962962963,"['https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/520851082', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/520458723', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/524264219', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/525116417', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/524713547', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/523692207', 'https://www.huuto.net/kohteet/ps2-metal-gear-solid-2-sons-of-liberty/521081195', 'https://www.huuto.net/kohteet/ps-2-metal-gear-solid-2-sons-of-liberty-cib-pal/525720368', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/523989684', 'https://www.huuto.net/kohteet/metal-gear-solid-2-sons-of-liberty/523108172', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/522287678', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/523586518', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/523893316', 'https://www.huuto.net/kohteet/ps2--metal-gear-solid-2--sons-of-liberty--sispkt/521044015', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/525570851', 'https://www.huuto.net/kohteet/metal-gear-solid-2--sons-of-liberty-ps2--bonus-disc/526116068', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/526238598', 'https://www.huuto.net/kohteet/metal-gear-solid-2-sons-of-liberty-ps2/522745849', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/526249985', 'https://www.huuto.net/kohteet/metal-gear-solid-2-sons-of-liberty-ei-bonus-dvdta-ps2/525969497', 'https://www.huuto.net/kohteet/ps2-metal-gear-solid-2-sons-of-liberty-videopeli/525795630', 'https://www.huuto.net/kohteet/metal-gear-solid-2-sons-of-liberty-ps2--40/524417010', 'https://www.huuto.net/kohteet/metal-gear-solid-2-sons-of-liberty-ps2-peli/525950833', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty--cib--ps2-peli/526376290', 'https://www.huuto.net/kohteet/metal-gear-solid-2-sons-of-liberty---cib---ps2-377/523963649', 'https://www.huuto.net/kohteet/metal-gear-solid-2-sons-of-liberty-cib-ps2/525821201', 'https://www.huuto.net/kohteet/metal-gear-solid-2---sons-of-liberty-ps2/525772407']",5.0,27,"[ 6.    5.    5.    5.    5.    5.    4.    4.    5.    7.5   5.    5.
  5.    9.9   5.   10.    6.    5.    5.    3.   30.    4.95 10.    7.
  5.    8.    5.  ]"
"[['dragonball', 'z', 'budokai', '2'], ['dragonball', 'z', 'budokai', '2'], ['super', 'dragonball', 'z'], ['dragonball', 'z', 'infinite', 'world'], ['dragonball', 'z', 'budokai', 'tenkaichi', 'platinum', '2006'], ['dragonball', 'z', 'budokai', 'tenkaichi', '2']]",8,"['dragonball', 'z', 'budokai', '2', 'super', 'infinite', 'world', 'tenkaichi', 'platinum', '2006']",14.125000000000002,"['https://www.huuto.net/kohteet/dragonball-z-budokai-2-ps2/526065126', 'https://www.huuto.net/kohteet/dragonball-z-budokai-2-ps2--40/521058452', 'https://www.huuto.net/kohteet/super-dragonball-z/520558109', 'https://www.huuto.net/kohteet/dragonball-z-infinite-world/522829472', 'https://www.huuto.net/kohteet/ps2-peli-dragonball-z-budokai-tenkaichi-platinum-2006/521072564', 'https://www.huuto.net/kohteet/dragonball-z-budokai-tenkaichi-2---ps2/525908567']",10.0,6,[10.    4.95 10.   40.    4.9  14.9 ]
"[['pro', 'evolution', 'soccer', 'management'], ['pro', 'evolution', 'soccer', '2'], ['pro', 'evolution', 'soccer', 'pes', '6', 'playstation', '2'], ['pro', 'evolution', 'soccer'], ['pro', 'evolution', 'soccer'], ['pro', 'evolution', 'soccer', '4'], ['ps', '2', 'pro', 'evolution', 'soccer', '4'], ['pro', 'evolution', 'soccer', 'management'], ['pro', 'evolution', 'soccer', '4'], ['ps', 'pro', 'evolution', 'soccer', '4']]",9,"['pro', 'evolution', 'soccer', 'management', '2', 'pes', '6', 'playstation', '4', 'ps']",2.335,"['https://www.huuto.net/kohteet/pro-evolution-soccer-management-ps2-ale--40/521059702', 'https://www.huuto.net/kohteet/pro-evolution-soccer-2-ps2/524793170', 'https://www.huuto.net/kohteet/pro-evolution-soccer-pes-6-playstation-2/523842359', 'https://www.huuto.net/kohteet/ps2-pro-evolution-soccer/521425828', 'https://www.huuto.net/kohteet/pro-evolution-soccer-ps2-peli/526258456', 'https://www.huuto.net/kohteet/pro-evolution-soccer-4-ps2/526068448', 'https://www.huuto.net/kohteet/ps-2-pro-evolution-soccer-4/526020964', 'https://www.huuto.net/kohteet/ps2-pro-evolution-soccer-management-cib/526036502', 'https://www.huuto.net/kohteet/pro-evolution-soccer-4-ps2-peli/526367346', 'https://www.huuto.net/kohteet/ps-pro-evolution-soccer-4/526006966']",2.0,10,[3.55 1.1  2.   1.   2.   1.5  2.2  5.   2.   3.  ]
"[['6880', 'playstation', '2', 'jak', 'and', 'daxter', 'cb'], ['jak', 'and', 'daxter', 'trilogy', 'pelkkä', 'levy']]",10,"['6880', 'playstation', '2', 'jak', 'and', 'daxter', 'cb', 'trilogy', 'pelkkä', 'levy']",5.0,"['https://www.huuto.net/kohteet/6880-playstation-2-ps2--jak-and-daxter--cb/526021626', 'https://www.huuto.net/kohteet/ps2-jak-and-daxter-trilogy-pelkka-levy/524456594']",5.0,2,[5. 5.]
"[['tony', 'hawk', 's', 'american', 'wasteland', 'promo', 'täysversio'], ['tony', 'hawk', 's', 'downhill', 'jam'], ['tony', 'hawk', 's', 'american', 'wasteland'], ['tony', 'hawk', 's', 'underground']]",11,"['tony', 'hawk', 's', 'american', 'wasteland', 'promo', 'täysversio', 'downhill', 'jam', 'underground']",11.125,"['https://www.huuto.net/kohteet/tony-hawks-american-wasteland---ps2-promo-taysversio/524648078', 'https://www.huuto.net/kohteet/tony-hawks-downhill-jam-ps2/525892008', 'https://www.huuto.net/kohteet/tony-hawks-american-wasteland/525933129', 'https://www.huuto.net/kohteet/tony-hawks-underground-ps2/526152610']",4.75,4,[ 4.5 35.   5.   0. ]
"[['crazy', 'frog', 'racer', '2'], ['crazy', 'frog', 'racer'], ['crazy', 'frog', 'racer', '2'], ['crazy', 'frog', 'racer'], ['crazy', 'frog', 'racer', '2'], ['crazy', 'frog', 'racer'], ['grazy', 'frog', 'racer'], ['crazy', 'frog', 'racer', '2'], ['crazy', 'frog', 'racer'], ['crazy', 'frog', 'racer', '2'], ['crazy', 'frog', 'racer', 'ps', 'ii'], ['crazy', 'frog', 'racer', '2']]",12,"['crazy', 'frog', 'racer', '2', 'grazy', 'ps', 'ii']",4.458333333333333,"['https://www.huuto.net/kohteet/crazy-frog-racer-2-ps2/521294075', 'https://www.huuto.net/kohteet/ps2-crazy-frog-racer-sispostikulut/520310621', 'https://www.huuto.net/kohteet/crazy-frog-racer-2-ps2/524672039', 'https://www.huuto.net/kohteet/crazy-frog-racer-ps2/524673403', 'https://www.huuto.net/kohteet/crazy-frog-racer-2-ps2/520857766', 'https://www.huuto.net/kohteet/crazy-frog-racer/525775896', 'https://www.huuto.net/kohteet/ps2-grazy-frog-racer/522626507', 'https://www.huuto.net/kohteet/crazy-frog-racer-2-ps2/525619762', 'https://www.huuto.net/kohteet/crazy-frog-racer-ps2/525619916', 'https://www.huuto.net/kohteet/crazy-frog-racer-2-ps2-peli/525929118', 'https://www.huuto.net/kohteet/crazy-frog-racer--ps---ii-peli-/522344673', 'https://www.huuto.net/kohteet/ps2-crazy-frog-racer-2/526194363']",5.0,12,[5.  9.9 5.  5.  5.  3.  6.  1.8 1.8 5.  5.  1. ]
"[['disney', 'princess'], ['disney', 'princess'], ['disney', 'princess'], ['disney', 'princess', 'enchanted', 'journey'], ['disney', 'princess'], ['disney', 'princess'], ['disney', 'princess', 'enchanted', 'journey'], ['disney', 'princess']]",13,"['disney', 'princess', 'enchanted', 'journey']",8.93125,"['https://www.huuto.net/kohteet/disney-princess-ps2-puhumme-suomea/520914674', 'https://www.huuto.net/kohteet/disney-princess-ps2-puhumme-suomea/524058776', 'https://www.huuto.net/kohteet/disney-princess-ps2-puhumme-suomea/524409753', 'https://www.huuto.net/kohteet/ps2-disney---princess---enchanted-journey/523310509', 'https://www.huuto.net/kohteet/disney-princess-ps2/525807077', 'https://www.huuto.net/kohteet/disney-princess-ps2/523362867', 'https://www.huuto.net/kohteet/ps2-disney-princess-enchanted-journey/525682379', 'https://www.huuto.net/kohteet/ps2-disney-princess/520160629']",7.35,8,[15.   15.   15.    6.    3.8   5.95  8.7   2.  ]
"[['space', 'invaders', 'anniversary'], ['space', 'invaders', 'invasion', 'day'], ['space', 'invaders', 'invasion', 'day'], ['space', 'invaders', 'anniversary', 'ps3']]",14,"['space', 'invaders', 'anniversary', 'invasion', 'day', 'ps3']",8.5,"['https://www.huuto.net/kohteet/space-invaders-anniversary-ps2/523984575', 'https://www.huuto.net/kohteet/space-invaders---invasion-day-ps2/523984574', 'https://www.huuto.net/kohteet/ps2-space-invaders---invasion-day-uudenveroinen/524544614', 'https://www.huuto.net/kohteet/space-invaders-anniversary---ps3/525185517']",8.75,4,[10.  10.   6.5  7.5]
"[['ratchet', 'clank', '3'], ['ratchet', 'clank', '3'], ['ratchet', 'clank', '3'], ['ratchet', 'clank', '3'], ['ratchet', 'clank', '3'], ['ratchet', 'clank', '3'], ['ratchet', 'clank', '3', 'playstation', '2'], ['ratchet', 'clank', '3'], ['ratchet', 'clank', '3'], ['ratchet', 'clank', '3'], ['ratched', 'clank', '3'], ['ratchet', 'clank', '3', 'playstation', '2'], ['ratchet', 'clank', '3'], ['ratchet', 'and', 'clank', '3'], ['ps', '2', 'ratchet', 'clank', '3', 'pal'], ['ratchet', 'clank', '3'], ['ratchet', 'clank', '3'], ['ratchet', 'clank', '3'], ['ratchet', 'clank', '3'], ['ratchet', 'clank', '3'], ['ratchet', 'clank', '3']]",15,"['ratchet', 'clank', '3', 'playstation', '2', 'ratched', 'and', 'ps', 'pal']",8.37857142857143,"['https://www.huuto.net/kohteet/ratchet--clank-3-ps2-suomijulkaisu/520857541', 'https://www.huuto.net/kohteet/ratchet--clank-3-ps2-suomijulkaisu/522547126', 'https://www.huuto.net/kohteet/ratchet--clank-3-ps2-suomijulkaisu/524452959', 'https://www.huuto.net/kohteet/ps2-ratchet--clank-3--sispostikulut-/520810317', 'https://www.huuto.net/kohteet/ps2-peli-ratchet--clank-3/521083060', 'https://www.huuto.net/kohteet/ratchet--clank-3-ps2-suomijulkaisu/520168723', 'https://www.huuto.net/kohteet/ratchet--clank-3-playstation-2/523841268', 'https://www.huuto.net/kohteet/ratchet--clank-3-ps2-suomijulkaisu/525777385', 'https://www.huuto.net/kohteet/ratchet--clank-3-ps2-suomijulkaisu/522486774', 'https://www.huuto.net/kohteet/ratchet--clank-3-ps2-peli/525416339', 'https://www.huuto.net/kohteet/ratched--clank-3-ps2/526290307', 'https://www.huuto.net/kohteet/ratchet--clank-3---playstation-2-peli/523789118', 'https://www.huuto.net/kohteet/ratchet--clank-3-ps2/525687390', 'https://www.huuto.net/kohteet/ratchet-and-clank-3-ps2/525687085', 'https://www.huuto.net/kohteet/ps-2-ratchet--clank-3-cib-pal/525968028', 'https://www.huuto.net/kohteet/ps2---ratchet--clank-3-cib/526075685', 'https://www.huuto.net/kohteet/ratchet--clank-3-ps2-suomijulkaisu/519819845', 'https://www.huuto.net/kohteet/ratchet--clank-3-ps2/525687528', 'https://www.huuto.net/kohteet/ratchet--clank-3/526316889', 'https://www.huuto.net/kohteet/ps2-ratchet--clank-3/525516621', 'https://www.huuto.net/kohteet/ratchet--clank-3-ps2-suomijulkaisu/525337986']",10.0,21,"[10.   10.   10.   11.9   9.   10.   10.   12.   12.    5.    6.    7.
  3.8  10.    3.   11.95 10.    3.8   3.5   7.   10.  ]"
"[['max', 'payne'], ['max', 'payne'], ['max', 'payne', 'platinum'], ['max', 'payne'], ['max', 'payne'], ['max', 'payne'], ['max', 'payne'], ['max', 'payne'], ['max', 'payne'], ['max', 'payne'], ['max', 'payne', 'playstation', '2', 'pal'], ['max', 'payne'], ['max', 'payne', '2'], ['max', 'payne'], ['max', 'payne', '2'], ['max', 'payne'], ['max', 'payne'], ['max', 'payne'], ['max', 'payne', 'playstation', '2'], ['max', 'payne', 'playstation', '2', '2001'], ['max', 'payne'], ['max', 'payne', '2']]",16,"['max', 'payne', 'platinum', 'playstation', '2', 'pal', '2001']",4.954545454545454,"['https://www.huuto.net/kohteet/ps2-max-payne-cib/525324424', 'https://www.huuto.net/kohteet/max-payne-ps2/523611547', 'https://www.huuto.net/kohteet/ps2---max-payne---platinum/525153972', 'https://www.huuto.net/kohteet/max-payne-ps2/523796698', 'https://www.huuto.net/kohteet/max-payne-ps2/524285777', 'https://www.huuto.net/kohteet/max-payne-ps2-suomijulkaisu/524389044', 'https://www.huuto.net/kohteet/max-payne-ps2/525764475', 'https://www.huuto.net/kohteet/max-payne-ps2/521278051', 'https://www.huuto.net/kohteet/max-payne-ps2/523538262', 'https://www.huuto.net/kohteet/ps2-max-payne/525337693', 'https://www.huuto.net/kohteet/max-payne-playstation-2-pal/526260977', 'https://www.huuto.net/kohteet/ps2-max-payne/524381690', 'https://www.huuto.net/kohteet/max-payne-2--ps2/523929453', 'https://www.huuto.net/kohteet/max-payne-ps2/525332891', 'https://www.huuto.net/kohteet/max-payne-2-ps2/526354193', 'https://www.huuto.net/kohteet/max-payne-ps2/526326928', 'https://www.huuto.net/kohteet/max-payne-ps2/526326988', 'https://www.huuto.net/kohteet/max-payne-ps2/526327204', 'https://www.huuto.net/kohteet/max-payne-playstation-2-peli/525906270', 'https://www.huuto.net/kohteet/max-payne-ps2-playstation-2-peli-2001/523537622', 'https://www.huuto.net/kohteet/max-payne-ps2/525680512', 'https://www.huuto.net/kohteet/ps2-max-payne-2/526194988']",5.0,22,"[4.5 7.  5.  6.  7.  6.  1.5 4.9 6.  5.  5.  5.  5.  6.  8.  3.3 5.8 2.5
 5.  3.5 6.  1. ]"
"[['disney', 'sign', 'it', 'high', 'school', 'musical', '3', 'senior', 'year'], ['ps', '2', 'disney', 'sing', 'it', 'high', 'school', 'musical', '3', 'senior', 'year', 'b'], ['sing', 'it', 'high', 'school', 'musical', '3', 'senior', 'year', 'pal'], ['disney', 'sing', 'it', 'high', 'school', 'musical', '3', 'senior', 'year'], ['disney', 'sing', 'it', 'high', 'school', 'musical', '3', 'senior', 'year'], ['disney', 'sing', 'it', 'high', 'school', 'musical', '3']]",17,"['disney', 'sign', 'it', 'high', 'school', 'musical', '3', 'senior', 'year', 'ps', '2', 'sing', 'b', 'pal']",4.516666666666667,"['https://www.huuto.net/kohteet/ps2-disney-sign-it-high-school-musical-3-senior-year-cib/525873317', 'https://www.huuto.net/kohteet/ps-2-disney-sing-it-high-school-musical-3-senior-year-b/525938828', 'https://www.huuto.net/kohteet/-sing-it-high-school-musical-3-senior-year-ps2-pal-uusi/525445978', 'https://www.huuto.net/kohteet/ps2-disney-sing-it-high-school-musical-3-senior-year/521217496', 'https://www.huuto.net/kohteet/ps2-disney-sing-it-high-school-musical-3-senior-year/523781265', 'https://www.huuto.net/kohteet/ps2-disney-sing-it---high-school-musical-3-cib/525324382']",2.5,6,[ 5.   2.  14.6  1.5  1.   3. ]
"[['space', 'chimps'], ['space', 'chimps'], ['space', 'chimps'], ['space', 'chimps', '22', '751', 'elokuvasta', 'seikkailu'], ['space', 'chimps']]",18,"['space', 'chimps', '22', '751', 'elokuvasta', 'seikkailu']",6.34,"['https://www.huuto.net/kohteet/ps2-space-chimps-uudenveroinen/521488271', 'https://www.huuto.net/kohteet/ps2-space-chimps/524381276', 'https://www.huuto.net/kohteet/space-chimps-ps2--peli/524969454', 'https://www.huuto.net/kohteet/space-chimps-peli22751ps2elokuvasta-seikkailu/525141796', 'https://www.huuto.net/kohteet/space-chimps/526349436']",5.5,5,[ 5.5  5.5 13.2  5.5  2. ]
"[['fifa', 'street'], ['fifa', 'street', '7491'], ['fifa', 'street'], ['fifa', 'street'], ['fifa', 'street'], ['ps', '2', 'fifa', 'street', 'pal'], ['fifa', 'street'], ['ps', '2', 'fifa', 'street', '2', 'pal'], ['fifa', 'street', 'playstation', '2']]",19,"['fifa', 'street', '7491', 'ps', '2', 'pal', 'playstation']",2.5277777777777777,"['https://www.huuto.net/kohteet/fifa-street-ps2-suomijulkaisu/524117884', 'https://www.huuto.net/kohteet/fifa-street--ps2--7491/523774916', 'https://www.huuto.net/kohteet/fifa-street-ps2-ale--40/521378305', 'https://www.huuto.net/kohteet/fifa-street-ps2-ale--40/521059300', 'https://www.huuto.net/kohteet/fifa-street-ps2-ale--40/521058241', 'https://www.huuto.net/kohteet/ps-2-fifa-street-cib-pal-ei-hv/526057587', 'https://www.huuto.net/kohteet/ps2-peli-fifa-street/520345287', 'https://www.huuto.net/kohteet/ps-2-fifa-street-2-cib-pal-ei-hv/526057694', 'https://www.huuto.net/kohteet/fifa-street-playstation-2/523844794']",3.0,9,[3.   3.   1.75 1.75 1.75 3.   3.   3.   2.5 ]
"[['harry', 'potter', 'ja', 'huispauksen', 'mm', 'kisat'], ['harry', 'potter', 'ja', 'huispauksen', 'mm', 'kisat'], ['harry', 'potter', 'huispauksen', 'mm', 'kisat', '362'], ['harry', 'potter', 'ja', 'huispauksen', 'mm', 'kisat']]",20,"['harry', 'potter', 'ja', 'huispauksen', 'mm', 'kisat', '362']",8.0,"['https://www.huuto.net/kohteet/harry-potter-ja-huispauksen-mm-kisat-ps2/525213588', 'https://www.huuto.net/kohteet/ps2-harry-potter-ja-huispauksen-mm-kisat/525995407', 'https://www.huuto.net/kohteet/harry-potter-huispauksen-mm-kisat---cib---ps2-362/525821522', 'https://www.huuto.net/kohteet/harry-potter-ja-huispauksen-mm-kisat-ps2/526051174']",8.0,4,[10.  6.  8.  8.]
"[['eye', 'toy', 'chat'], ['eye', 'toy', 'groove'], ['eye', 'toy', 'monkey', 'mania'], ['spytoy', 'eye', 'toy'], ['eye', 'toy', 'astro', 'zoo'], ['eye', 'toy', 'groove'], ['eye', 'toy', 'groove', 'playstation', '2', 'pal'], ['eye', 'toy', 'groove']]",21,"['eye', 'toy', 'chat', 'groove', 'monkey', 'mania', 'spytoy', 'astro', 'zoo', 'playstation', '2', 'pal']",3.9375,"['https://www.huuto.net/kohteet/ps2-eye-toy---chat-uudenveroinen/521077930', 'https://www.huuto.net/kohteet/ps2-eye-toy---groove-uudenveroinen/521488335', 'https://www.huuto.net/kohteet/ps2-eye-toy---monkey-mania/521257555', 'https://www.huuto.net/kohteet/ps2-spytoy-eye-toy-peli/523676885', 'https://www.huuto.net/kohteet/eye-toy-astro-zoo-ps2/526250717', 'https://www.huuto.net/kohteet/eye-toy-groove-ps2/526250735', 'https://www.huuto.net/kohteet/eye-toy-groove-playstation-2-pal/526317240', 'https://www.huuto.net/kohteet/ps2-eye-toy---groove/526198717']",4.5,8,[4.  5.5 5.  5.  2.  1.  3.  6. ]
"[['star', 'wars', 'battlefront', 'ii'], ['star', 'wars', 'battlefront'], ['star', 'wars', 'battlefront'], ['star', 'wars', 'battlefront', 'ii', 'greatest', 'hits', 'ntsc'], ['star', 'wars', 'battlefront'], ['star', 'wars', 'battlefront', 'ii'], ['star', 'wars', 'battlefront'], ['star', 'wars', 'battlefront', 'ii']]",22,"['star', 'wars', 'battlefront', 'ii', 'greatest', 'hits', 'ntsc']",8.875,"['https://www.huuto.net/kohteet/star-wars-battlefront-ii/525803997', 'https://www.huuto.net/kohteet/star-wars-battlefront/525804033', 'https://www.huuto.net/kohteet/star-wars-battlefront--ps2/521322745', 'https://www.huuto.net/kohteet/star-wars-battlefront-ii-greatest-hits-ps2-ntsc/526261095', 'https://www.huuto.net/kohteet/star-wars-battlefront/524613724', 'https://www.huuto.net/kohteet/star-wars-battlefront-ii-ps2-cib/525818107', 'https://www.huuto.net/kohteet/star-wars-battlefront-ps2/526051175', 'https://www.huuto.net/kohteet/star-wars-battlefront-ii-ps2-peli/525793957']",7.5,8,[11.  7.  5.  6.  8.  9.  5. 20.]
"[['csi', 'crime', 'scene', 'investigation', '3', 'dimensions', 'murder'], ['csi', 'crime', 'scene', 'investigation', '3', 'dimensions', 'murder'], ['csi', 'crime', 'scene', 'investigation', '3', 'pal', 'sinetöity'], ['csi', 'crime', 'scene', 'investigation', '3', 'dimensions', 'murder'], ['csi', 'crime', 'scene', 'investigation', '3', 'dimensions', 'murder']]",23,"['csi', 'crime', 'scene', 'investigation', '3', 'dimensions', 'murder', 'pal', 'sinetöity']",7.859999999999999,"['https://www.huuto.net/kohteet/ps2-csi---crime-scene-investigation-3-dimensions-of-murder/524390630', 'https://www.huuto.net/kohteet/ps2-csi---crime-scene-investigation-3-dimensions-of-murder/524382067', 'https://www.huuto.net/kohteet/-csi-crime-scene-investigation-3-ps2-pal-sinetoity/525405187', 'https://www.huuto.net/kohteet/csi--crime-scene-investigation-3-dimensions-of-murder-ps2/526133790', 'https://www.huuto.net/kohteet/ps2-csi--crime-scene-investigation-3---dimensions-of-murder/525825511']",5.5,5,[ 5.5  5.5 18.5  4.8  5. ]
"[['junior', 'sports', 'basketball', '3'], ['kidz', 'sports', 'basketball'], ['kidz', 'sports', 'ice', 'hockey', '10901']]",24,"['junior', 'sports', 'basketball', '3', 'kidz', 'ice', 'hockey', '10901']",5.166666666666667,"['https://www.huuto.net/kohteet/junior-sports-basketball-ps2-cib-3/523869653', 'https://www.huuto.net/kohteet/ps2-kidz-sports-basketball-cib/525517359', 'https://www.huuto.net/kohteet/kidz-sports-ice-hockey-----ps2--10901/522740991']",5.0,3,[3.  5.  7.5]
"[['god', 'war'], ['god', 'war'], ['god', 'war'], ['god', 'war', 'platinum'], ['god', 'war'], ['god', 'war', '–', 'platinum'], ['ps', '2', 'god', 'war', 'pal'], ['god', 'war', '2'], ['ps', '2', 'god', 'war', '2', 'pal'], ['god', 'war'], ['god', 'war'], ['god', 'war'], ['god', 'war', '2', 'platinum'], ['god', 'war'], ['god', 'war']]",25,"['god', 'war', 'platinum', '–', 'ps', '2', 'pal']",4.553333333333333,"['https://www.huuto.net/kohteet/ps2--god-of-war--cib-/524222205', 'https://www.huuto.net/kohteet/ps2-sis-ohjeet-god-of-war/524210174', 'https://www.huuto.net/kohteet/god-of-war-ps2-suomijulkaisu/522403718', 'https://www.huuto.net/kohteet/god-of-war-platinum-ps2/524354370', 'https://www.huuto.net/kohteet/god-of-war-ps2-cib/524073438', 'https://www.huuto.net/kohteet/ps2---god-of-war--platinum/525542887', 'https://www.huuto.net/kohteet/ps-2-god-of-war-cib-pal/525517692', 'https://www.huuto.net/kohteet/god-of-war-2-ps2-cib/524073475', 'https://www.huuto.net/kohteet/ps-2-god-of-war-2-cib-pal/526171373', 'https://www.huuto.net/kohteet/uusi-ps2-god-of-war/526151640', 'https://www.huuto.net/kohteet/god-of-war-ps2/525852573', 'https://www.huuto.net/kohteet/god-of-war/526246878', 'https://www.huuto.net/kohteet/god-of-war-2-ps2-platinum/526275892', 'https://www.huuto.net/kohteet/god-of-war-ps2/526081814', 'https://www.huuto.net/kohteet/ps2---god-of-war-uudenveroinen/526042007']",4.0,15,"[ 3.8  4.   9.   5.   4.   4.   3.   4.   3.  10.   4.8  5.   1.   2.8
  4.9]"
